Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Эли Даса;Динамо Москва;256;102;З П;-;-;-;-;-;-;1.00;1.00;1.00;1.00;-;-;-;-;-;-;46.00;87 %;2.00;0 %;2.00;50 %;13.00;69 %;2.00;0 %;-;-;5.00;100 %;3.00;33 %;5.00;1.00;-;3.00;-;3.00;10.00;90 %;7.00;86 %;3.00;100 %;2.00;100 %;1.00;100 %;1.00;100 %;4.00;100 %;6.00;2.00;1;1.00;-;-;67.00;60.00;90 %;-;-;-;-;0.04;-;-;-;2.14;1.92;0.22;-;-;40.00;-;1.00;9.00;-;-;5.00;1.00;9.00;6.00;3.00;2.00;1.00;1.00;4.00
Роберто Фернандез Урбиета;Динамо Москва;207;102;З ЛЦ;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;1.00;-;0.14;43.00;88 %;-;-;-;-;7.00;71 %;4.00;100 %;1.00;100 %;2.00;50 %;-;-;2.00;2.00;-;7.00;-;3.00;13.00;62 %;10.00;50 %;3.00;100 %;6.00;50 %;2.00;100 %;-;-;3.00;100 %;10.00;3.00;1;1.00;-;-;74.00;63.00;85 %;0 %;1.00;-;-;-;0.14;-;0.00;2.14;1.92;0.22;0.30;0.10;38.00;-;-;5.00;4.00;1.00;1.00;-;8.00;5.00;3.00;3.00;2.00;-;3.00
Даниил Фомин;Динамо Москва;245;102;З ПЦ;-;1.00;2.00;-;0 %;2.00;-;-;-;1.00;-;-;-;2.00;1.00;0.50;42.00;83 %;-;-;1.00;0 %;4.00;50 %;1.00;100 %;-;-;1.00;100 %;4.00;50 %;3.00;-;-;5.00;1.00;4.00;15.00;73 %;11.00;82 %;4.00;50 %;9.00;67 %;1.00;100 %;-;-;3.00;100 %;3.00;3.00;1;1.00;-;-;69.00;57.00;83 %;50 %;-;-;1.00;0.22;0.25;-;0.00;2.14;1.92;0.22;-;-;35.00;-;-;2.00;1.00;-;1.00;2.00;11.00;9.00;2.00;6.00;1.00;-;3.00
Данил Глебов;Ростов;192;102;ЗП ЛЦ;-;-;-;-;-;1.00;1.00;-;-;-;-;-;1.00;-;-;-;52.00;83 %;1.00;100 %;-;-;15.00;73 %;4.00;75 %;1.00;100 %;6.00;67 %;6.00;50 %;5.00;1.00;-;5.00;2.00;1.00;18.00;39 %;5.00;40 %;13.00;38 %;7.00;14 %;6.00;50 %;4.00;50 %;1.00;0 %;4.00;10.00;1;1.00;-;-;85.00;65.00;76 %;-;-;-;-;0.28;-;-;-;1.92;2.14;-0.22;0.03;0.03;43.00;1.00;-;11.00;3.00;1.00;4.00;3.00;7.00;2.00;5.00;1.00;3.00;2.00;-
Диего Лаксальт;Динамо Москва;222;102;ЗП ПЦ;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;-;-;-;43.00;91 %;-;-;-;-;7.00;71 %;-;-;-;-;6.00;67 %;-;-;2.00;-;2.00;6.00;2.00;-;11.00;55 %;9.00;44 %;2.00;100 %;3.00;100 %;-;-;-;-;4.00;0 %;10.00;8.00;1;1.00;-;-;74.00;63.00;85 %;-;-;-;-;-;-;-;-;2.14;1.92;0.22;-;-;39.00;-;-;5.00;-;-;4.00;-;6.00;4.00;2.00;3.00;-;-;-
Виктор Мелехин;Ростов;199;102;З ПЦ;-;-;-;-;-;-;-;2.00;1.00;2.00;1.00;-;-;-;-;-;54.00;87 %;-;-;-;-;8.00;63 %;5.00;80 %;1.00;100 %;6.00;50 %;-;-;4.00;3.00;-;13.00;1.00;1.00;17.00;82 %;10.00;70 %;7.00;100 %;8.00;75 %;2.00;100 %;-;-;2.00;50 %;10.00;7.00;1;1.00;-;-;91.00;81.00;89 %;-;-;-;-;-;-;-;-;1.92;2.14;-0.22;0.11;0.06;47.00;-;-;5.00;4.00;1.00;3.00;-;14.00;7.00;7.00;6.00;2.00;-;1.00
Алексей Миронов;Ростов;231;102;ЗП ПЦ;-;-;1.00;-;0 %;-;1.00;2.00;-;1.00;-;-;-;4.00;2.00;0.22;56.00;86 %;-;-;1.00;0 %;7.00;86 %;3.00;67 %;-;-;4.00;75 %;8.00;50 %;7.00;1.00;1.00;5.00;3.00;-;7.00;57 %;1.00;0 %;6.00;67 %;1.00;100 %;3.00;67 %;2.00;50 %;1.00;0 %;4.00;11.00;1;1.00;-;-;83.00;69.00;83 %;50 %;1.00;1.00;-;0.66;0.06;-;0.00;1.92;2.14;-0.22;0.02;0.02;48.00;-;-;6.00;2.00;-;3.00;4.00;4.00;-;4.00;1.00;2.00;1.00;-
Дмитрий Скопинцев;Динамо Москва;220;102;ЗЛ;-;-;1.00;-;0 %;-;2.00;-;-;1.00;-;-;-;3.00;1.00;0.20;38.00;87 %;-;-;-;-;6.00;83 %;-;-;-;-;2.00;50 %;1.00;100 %;7.00;1.00;1.00;7.00;-;2.00;16.00;25 %;11.00;27 %;5.00;20 %;6.00;17 %;3.00;33 %;2.00;50 %;3.00;33 %;5.00;9.00;1;1.00;-;-;77.00;57.00;74 %;33 %;1.00;1.00;-;-;0.07;-;0.00;2.14;1.92;0.22;-;-;33.00;-;-;5.00;-;-;1.00;1.00;4.00;3.00;1.00;1.00;1.00;1.00;1.00
Илья Вахания;Ростов;213;102;ЗЛ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;35.00;80 %;-;-;2.00;0 %;5.00;80 %;1.00;0 %;-;-;2.00;100 %;4.00;75 %;5.00;2.00;-;2.00;2.00;1.00;10.00;50 %;4.00;75 %;6.00;33 %;2.00;100 %;4.00;25 %;1.00;0 %;1.00;100 %;5.00;7.00;1;1.00;-;-;59.00;47.00;80 %;-;-;-;-;0.13;-;-;-;1.92;2.14;-0.22;0.04;0.02;28.00;-;-;4.00;-;-;2.00;3.00;5.00;3.00;2.00;2.00;1.00;-;1.00
Хуниор Осмар Игнасио Алонсо Мухика;ФК Краснодар;245;101;З ЛЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;58.00;91 %;-;-;-;-;9.00;78 %;5.00;60 %;-;-;3.00;67 %;-;-;2.00;1.00;-;12.00;1.00;1.00;16.00;69 %;15.00;67 %;1.00;100 %;9.00;78 %;1.00;100 %;1.00;100 %;2.00;50 %;9.00;12.00;1;1.00;-;-;98.00;88.00;90 %;-;-;-;-;0.25;-;-;-;1.51;0.87;0.64;0.04;0.04;53.00;-;-;7.00;3.00;-;2.00;-;11.00;10.00;1.00;7.00;1.00;1.00;1.00
Александр Черников;ФК Краснодар;245;101;ЗП Ц;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;27.00;78 %;1.00;0 %;-;-;5.00;60 %;1.00;0 %;-;-;2.00;50 %;-;-;2.00;1.00;-;6.00;3.00;1.00;13.00;62 %;10.00;70 %;3.00;33 %;4.00;50 %;-;-;-;-;3.00;100 %;9.00;4.00;1;1.00;-;-;54.00;43.00;80 %;-;-;-;-;-;-;-;-;1.51;0.87;0.64;-;-;21.00;-;-;3.00;-;-;1.00;-;8.00;7.00;1.00;2.00;-;-;3.00
Алексис Давид Дуарте Перейра;Спартак Москва;208;101;З ПЦ;-;-;-;-;-;-;1.00;-;1.00;2.00;-;-;-;-;-;-;54.00;83 %;1.00;0 %;1.00;100 %;6.00;33 %;2.00;0 %;-;-;-;-;1.00;100 %;5.00;2.00;-;11.00;-;2.00;16.00;56 %;11.00;55 %;5.00;60 %;9.00;89 %;-;-;-;-;2.00;50 %;8.00;11.00;1;1.00;-;-;93.00;77.00;83 %;-;-;-;-;-;-;-;-;0.87;1.51;-0.64;-;-;45.00;-;1.00;2.00;-;-;-;1.00;9.00;6.00;3.00;8.00;-;-;1.00
Батчи;ФК Краснодар;258;101;АП Л;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;1.00;-;0.01;36.00;75 %;2.00;50 %;2.00;0 %;7.00;57 %;3.00;67 %;1.00;0 %;4.00;50 %;3.00;67 %;7.00;2.00;-;3.00;1.00;11.00;13.00;62 %;2.00;50 %;11.00;64 %;1.00;100 %;7.00;57 %;1.00;0 %;-;-;3.00;10.00;1;1.00;-;-;74.00;59.00;80 %;0 %;1.00;-;-;0.26;0.01;-;0.00;1.51;0.87;0.64;-;-;27.00;1.00;-;4.00;2.00;-;2.00;2.00;8.00;1.00;7.00;1.00;4.00;-;-
Лука Олаза;ФК Краснодар;255;101;ЗЛ;-;1.00;-;-;-;1.00;1.00;-;-;2.00;-;-;-;-;-;-;52.00;85 %;-;-;2.00;50 %;13.00;85 %;-;-;-;-;6.00;67 %;4.00;50 %;5.00;2.00;1.00;4.00;1.00;-;15.00;53 %;11.00;45 %;4.00;75 %;5.00;0 %;2.00;100 %;2.00;100 %;4.00;75 %;1.00;6.00;1;1.00;-;-;76.00;60.00;79 %;-;-;-;-;0.23;-;-;-;1.51;0.87;0.64;0.12;0.12;44.00;-;1.00;11.00;-;-;4.00;2.00;8.00;5.00;3.00;-;2.00;2.00;3.00
Куинси Антон Промес;Спартак Москва;207;101;АП Л;-;-;-;-;-;-;1.00;1.00;-;-;-;-;2.00;1.00;-;0.04;37.00;59 %;-;-;3.00;0 %;3.00;67 %;1.00;0 %;-;-;3.00;67 %;7.00;29 %;11.00;2.00;-;-;-;1.00;13.00;38 %;2.00;50 %;11.00;36 %;2.00;0 %;5.00;40 %;2.00;50 %;1.00;100 %;1.00;2.00;1;1.00;-;-;55.00;31.00;56 %;0 %;-;1.00;-;0.20;0.04;-;0.00;0.87;1.51;-0.64;-;-;22.00;-;-;2.00;-;-;2.00;2.00;5.00;1.00;4.00;-;2.00;1.00;1.00
Олег Рябчук;Спартак Москва;226;101;ЗЛ;-;-;-;-;-;-;-;1.00;-;1.00;-;-;1.00;-;-;-;46.00;87 %;-;-;2.00;0 %;9.00;67 %;-;-;-;-;2.00;50 %;4.00;75 %;4.00;1.00;-;3.00;1.00;1.00;11.00;55 %;9.00;56 %;2.00;50 %;4.00;75 %;-;-;-;-;3.00;33 %;6.00;2.00;1;1.00;-;-;66.00;55.00;83 %;-;-;-;-;-;-;-;-;0.87;1.51;-0.64;-;-;40.00;-;-;6.00;-;-;1.00;3.00;6.00;5.00;1.00;3.00;-;-;1.00
Александр Соболев;Спартак Москва;216;101;Ф Ц;-;-;3.00;-;0 %;1.00;1.00;2.00;-;-;-;-;-;4.00;2.00;0.33;22.00;77 %;-;-;-;-;-;-;3.00;100 %;1.00;100 %;-;-;2.00;50 %;7.00;-;2.00;1.00;-;-;20.00;50 %;1.00;0 %;19.00;53 %;13.00;54 %;3.00;67 %;3.00;67 %;1.00;0 %;1.00;5.00;1;1.00;-;-;54.00;35.00;65 %;50 %;-;1.00;1.00;-;0.08;-;0.00;0.87;1.51;-0.64;-;-;17.00;-;-;-;3.00;1.00;-;1.00;10.00;-;10.00;7.00;2.00;2.00;-
Эдуард Сперцян;ФК Краснодар;242;101;П ЛЦ;1.00;-;2.00;1.00;50 %;1.00;1.00;1.00;-;1.00;-;-;-;2.00;1.00;1.00;29.00;86 %;-;-;-;-;8.00;75 %;2.00;50 %;-;-;5.00;80 %;3.00;100 %;5.00;1.00;-;3.00;-;2.00;14.00;29 %;9.00;33 %;5.00;20 %;3.00;33 %;1.00;0 %;1.00;0 %;4.00;25 %;2.00;4.00;1;1.00;-;-;54.00;39.00;72 %;50 %;1.00;-;-;0.64;0.50;1.00;1.00;1.51;0.87;0.64;-;-;25.00;-;-;6.00;1.00;-;4.00;3.00;4.00;3.00;1.00;1.00;-;-;1.00
Витор Тормена Тормена Де Фариас;ФК Краснодар;234;101;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53.00;87 %;-;-;-;-;6.00;67 %;-;-;-;-;2.00;100 %;-;-;4.00;2.00;-;4.00;-;2.00;7.00;57 %;7.00;57 %;-;-;4.00;50 %;-;-;-;-;1.00;100 %;5.00;8.00;1;1.00;-;-;75.00;65.00;87 %;-;-;-;-;-;-;-;-;1.51;0.87;0.64;-;-;46.00;-;-;4.00;-;-;2.00;-;4.00;4.00;-;2.00;-;-;1.00
Сергей Волков;ФК Краснодар;232;101;З П;-;-;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;44.00;68 %;-;-;3.00;0 %;13.00;54 %;3.00;33 %;-;-;11.00;55 %;7.00;14 %;10.00;1.00;-;5.00;3.00;3.00;7.00;86 %;5.00;80 %;2.00;100 %;1.00;100 %;1.00;100 %;1.00;100 %;4.00;75 %;4.00;4.00;1;1.00;-;-;62.00;47.00;76 %;-;-;-;-;-;-;-;-;1.51;0.87;0.64;0.04;0.04;30.00;-;-;7.00;1.00;-;6.00;1.00;6.00;4.00;2.00;1.00;1.00;1.00;3.00
Роман Зобнин;Спартак Москва;241;101;П ЛЦ;-;-;1.00;-;0 %;2.00;1.00;1.00;-;-;-;-;-;1.00;1.00;0.17;39.00;77 %;1.00;100 %;2.00;100 %;9.00;33 %;-;-;-;-;4.00;50 %;5.00;60 %;5.00;1.00;2.00;3.00;1.00;4.00;13.00;69 %;7.00;57 %;6.00;83 %;6.00;67 %;2.00;100 %;-;-;2.00;50 %;2.00;7.00;1;1.00;-;-;68.00;53.00;78 %;100 %;-;-;-;0.15;0.17;-;0.00;0.87;1.51;-0.64;-;-;30.00;1.00;2.00;3.00;-;-;2.00;3.00;9.00;4.00;5.00;4.00;2.00;-;1.00
Виктор Александров;Пари Нижний Новгород;237;100;З ЛЦ;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;-;-;-;17.00;59 %;-;-;-;-;5.00;40 %;2.00;0 %;1.00;0 %;2.00;50 %;1.00;0 %;4.00;2.00;-;8.00;2.00;-;14.00;86 %;12.00;83 %;2.00;100 %;4.00;100 %;-;-;-;-;5.00;80 %;11.00;4.00;1;1.00;-;-;47.00;38.00;81 %;-;-;-;-;-;-;-;-;0.20;1.77;-1.57;-;-;10.00;-;-;2.00;-;-;1.00;-;12.00;10.00;2.00;4.00;-;-;4.00
Нуралы Алип;Зенит;246;100;З ЛЦ;-;-;-;-;-;-;3.00;1.00;-;-;1.00;-;-;1.00;-;0.01;88.00;95 %;-;-;-;-;8.00;75 %;-;-;-;-;4.00;50 %;-;-;6.00;2.00;1.00;6.00;2.00;-;22.00;50 %;16.00;56 %;6.00;33 %;8.00;38 %;2.00;100 %;-;-;5.00;100 %;4.00;6.00;1;1.00;-;-;122.00;105.00;86 %;0 %;-;1.00;-;-;0.01;-;0.00;0.96;1.11;-0.15;-;-;84.00;-;-;6.00;-;-;2.00;-;11.00;9.00;2.00;3.00;2.00;-;5.00
Мойзес;ЦСКА Москва;223;100;З ЛЦ;-;-;-;-;-;-;3.00;-;-;1.00;-;-;-;-;-;-;44.00;84 %;-;-;2.00;0 %;11.00;82 %;3.00;67 %;-;-;4.00;100 %;2.00;0 %;3.00;1.00;1.00;3.00;2.00;1.00;9.00;67 %;7.00;57 %;2.00;100 %;3.00;33 %;2.00;100 %;-;-;1.00;0 %;5.00;4.00;1;1.00;-;-;64.00;53.00;83 %;-;-;-;-;-;-;-;-;1.11;0.96;0.15;0.21;0.21;37.00;-;-;9.00;2.00;-;4.00;-;6.00;4.00;2.00;1.00;2.00;-;-
Вильмар Барриос;Зенит;246;100;ЗП Ц;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;-;-;65.00;92 %;1.00;0 %;-;-;18.00;83 %;1.00;100 %;-;-;7.00;86 %;8.00;88 %;4.00;-;1.00;6.00;2.00;2.00;18.00;50 %;10.00;40 %;8.00;63 %;3.00;33 %;1.00;100 %;1.00;100 %;2.00;50 %;11.00;7.00;1;1.00;-;-;104.00;89.00;86 %;-;-;-;-;-;-;-;-;0.96;1.11;-0.15;0.02;0.02;60.00;-;-;15.00;1.00;-;6.00;7.00;9.00;4.00;5.00;1.00;1.00;1.00;1.00
Роша;ЦСКА Москва;225;100;З Ц;-;-;-;-;-;-;1.00;1.00;1.00;1.00;1.00;-;-;-;-;-;21.00;90 %;-;-;-;-;10.00;80 %;3.00;67 %;1.00;100 %;3.00;67 %;-;-;1.00;-;-;11.00;-;-;22.00;59 %;17.00;59 %;5.00;60 %;10.00;70 %;-;-;-;-;7.00;57 %;16.00;7.00;1;1.00;-;-;66.00;55.00;83 %;-;-;-;-;-;-;-;-;1.11;0.96;0.15;0.24;0.06;19.00;-;-;8.00;2.00;1.00;2.00;-;13.00;10.00;3.00;7.00;-;-;4.00
Мирлинд Даку;Рубин Казань;194;100;Ф ЛЦ;-;-;-;-;-;1.00;1.00;1.00;-;-;1.00;-;1.00;3.00;-;0.28;21.00;76 %;1.00;100 %;1.00;0 %;3.00;67 %;-;-;-;-;-;-;3.00;67 %;7.00;3.00;4.00;-;-;3.00;25.00;44 %;5.00;20 %;20.00;50 %;11.00;55 %;4.00;50 %;2.00;0 %;1.00;0 %;3.00;2.00;1;1.00;-;-;61.00;35.00;57 %;0 %;1.00;2.00;-;0.11;0.09;-;0.00;1.77;0.20;1.57;0.04;0.04;16.00;1.00;-;2.00;-;-;-;2.00;11.00;1.00;10.00;6.00;2.00;-;-
Страхиня Эракович;Зенит;274;100;З Ц;-;-;-;-;-;1.00;3.00;-;-;-;-;-;-;1.00;1.00;0.05;87.00;92 %;1.00;0 %;-;-;11.00;73 %;4.00;75 %;-;-;8.00;63 %;-;-;3.00;1.00;-;10.00;1.00;3.00;11.00;73 %;9.00;67 %;2.00;100 %;4.00;50 %;1.00;100 %;-;-;3.00;100 %;10.00;6.00;1;1.00;-;-;118.00;108.00;92 %;100 %;-;-;-;-;0.05;-;0.00;0.96;1.11;-0.15;-;-;80.00;-;-;8.00;3.00;-;5.00;-;8.00;6.00;2.00;2.00;1.00;-;3.00
Джоэль Фамейе;Рубин Казань;195;100;Ф ПЦ;-;-;1.00;1.00;100 %;1.00;1.00;3.00;-;-;-;-;-;2.00;-;0.19;25.00;80 %;-;-;1.00;100 %;-;-;1.00;100 %;-;-;-;-;2.00;100 %;9.00;1.00;-;2.00;-;1.00;28.00;32 %;4.00;25 %;24.00;33 %;4.00;50 %;8.00;50 %;8.00;50 %;-;-;2.00;7.00;1;1.00;-;-;65.00;39.00;60 %;0 %;1.00;1.00;-;0.49;0.10;-;0.00;1.77;0.20;1.57;-;-;20.00;-;1.00;-;1.00;-;-;2.00;9.00;1.00;8.00;2.00;4.00;4.00;-
Милан Гайич;ЦСКА Москва;213;100;ЗП Л;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;1.00;-;0.05;30.00;73 %;-;-;3.00;0 %;3.00;67 %;-;-;-;-;2.00;100 %;3.00;0 %;4.00;1.00;-;3.00;-;-;12.00;42 %;7.00;29 %;5.00;60 %;7.00;14 %;1.00;100 %;1.00;100 %;-;-;5.00;4.00;1;1.00;-;-;53.00;37.00;70 %;0 %;-;1.00;-;-;0.05;-;0.00;1.11;0.96;0.15;-;-;22.00;-;-;2.00;-;-;2.00;-;5.00;2.00;3.00;1.00;1.00;1.00;-
Кирилл Гоцук;Пари Нижний Новгород;214;100;З Ц;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;22.00;77 %;-;-;-;-;4.00;0 %;1.00;0 %;-;-;2.00;0 %;-;-;3.00;1.00;-;16.00;2.00;-;17.00;76 %;15.00;87 %;2.00;0 %;8.00;75 %;-;-;-;-;2.00;100 %;14.00;8.00;1;1.00;-;-;64.00;54.00;84 %;-;-;-;-;-;-;-;-;0.20;1.77;-1.57;0.08;0.04;17.00;-;-;-;-;-;-;-;13.00;13.00;-;6.00;-;-;2.00
Алексей Грицаенко;Рубин Казань;251;100;З ЛЦ;-;-;1.00;-;0 %;1.00;-;2.00;-;-;-;-;-;2.00;1.00;0.19;58.00;91 %;-;-;-;-;10.00;90 %;-;-;-;-;7.00;86 %;1.00;100 %;4.00;-;-;13.00;3.00;3.00;22.00;77 %;17.00;88 %;5.00;40 %;14.00;79 %;1.00;0 %;-;-;4.00;100 %;8.00;7.00;1;1.00;-;-;99.00;88.00;89 %;50 %;1.00;-;-;-;0.10;-;0.00;1.77;0.20;1.57;0.05;0.03;53.00;-;-;9.00;-;-;6.00;1.00;17.00;15.00;2.00;11.00;-;-;4.00
Угочукву Ивву Кристус;Рубин Казань;217;100;ЗП Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;1.00;0.21;46.00;93 %;-;-;-;-;8.00;88 %;2.00;100 %;-;-;3.00;67 %;1.00;0 %;1.00;-;-;6.00;3.00;3.00;17.00;53 %;10.00;30 %;7.00;86 %;5.00;20 %;3.00;67 %;-;-;3.00;67 %;2.00;12.00;1;1.00;-;-;84.00;70.00;83 %;25 %;2.00;1.00;-;0.05;0.05;-;0.00;1.77;0.20;1.57;-;-;43.00;-;-;7.00;2.00;-;2.00;-;9.00;3.00;6.00;1.00;2.00;-;2.00
Дмитрий Кабутов;Рубин Казань;248;100;ЗП П;-;-;-;-;-;-;3.00;-;-;-;-;-;-;2.00;1.00;0.05;73.00;73 %;-;-;4.00;25 %;21.00;52 %;1.00;100 %;-;-;11.00;36 %;14.00;50 %;15.00;1.00;3.00;4.00;-;3.00;23.00;48 %;7.00;57 %;16.00;44 %;-;-;11.00;55 %;8.00;63 %;2.00;100 %;4.00;11.00;1;1.00;-;-;119.00;83.00;70 %;50 %;1.00;-;-;0.58;0.03;-;0.00;1.77;0.20;1.57;-;-;53.00;-;1.00;11.00;1.00;-;4.00;7.00;11.00;4.00;7.00;-;6.00;5.00;2.00
Никита Каккоев;Пари Нижний Новгород;202;100;З ПЦ;-;-;-;-;-;-;3.00;-;-;-;-;-;-;-;-;-;20.00;65 %;-;-;-;-;8.00;63 %;3.00;67 %;2.00;100 %;3.00;67 %;-;-;5.00;1.00;-;7.00;-;1.00;25.00;60 %;22.00;59 %;3.00;67 %;5.00;40 %;1.00;100 %;-;-;11.00;64 %;6.00;7.00;1;1.00;-;-;60.00;43.00;72 %;-;-;-;-;-;-;-;-;0.20;1.77;-1.57;0.03;0.03;13.00;-;-;5.00;2.00;2.00;2.00;-;15.00;13.00;2.00;2.00;1.00;-;7.00
Мамаду Майга;Пари Нижний Новгород;214;100;ЗП Ц;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;35.00;83 %;1.00;0 %;-;-;6.00;50 %;1.00;100 %;-;-;4.00;25 %;-;-;5.00;4.00;-;6.00;1.00;1.00;17.00;65 %;9.00;56 %;8.00;75 %;6.00;67 %;-;-;-;-;6.00;67 %;5.00;11.00;1;1.00;-;-;70.00;58.00;83 %;-;-;-;-;-;-;-;-;0.20;1.77;-1.57;0.04;0.04;29.00;-;-;3.00;1.00;-;1.00;-;11.00;5.00;6.00;4.00;-;-;4.00
Мендес;ЦСКА Москва;245;100;ЗП ЛЦ;-;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;38.00;82 %;-;-;-;-;8.00;75 %;-;-;-;-;4.00;75 %;-;-;4.00;1.00;-;3.00;1.00;2.00;5.00;80 %;2.00;100 %;3.00;67 %;-;-;1.00;100 %;-;-;1.00;100 %;2.00;5.00;1;1.00;-;-;52.00;44.00;85 %;-;-;-;-;-;-;-;-;1.11;0.96;0.15;-;-;31.00;-;-;6.00;-;-;3.00;-;4.00;2.00;2.00;-;1.00;-;1.00
Кирилл Набабкин;ЦСКА Москва;216;100;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27.00;89 %;-;-;-;-;8.00;75 %;5.00;60 %;1.00;0 %;3.00;33 %;2.00;0 %;2.00;-;-;4.00;2.00;3.00;9.00;56 %;7.00;43 %;2.00;100 %;2.00;50 %;-;-;-;-;1.00;100 %;3.00;3.00;1;1.00;-;-;45.00;38.00;84 %;-;-;-;-;-;-;-;-;1.11;0.96;0.15;-;-;24.00;-;-;6.00;3.00;-;1.00;-;5.00;3.00;2.00;1.00;-;-;1.00
Иван Обляков;ЦСКА Москва;262;100;АП ПЦ;-;-;-;-;-;-;2.00;1.00;-;-;-;-;1.00;-;-;-;33.00;79 %;1.00;0 %;-;-;8.00;50 %;2.00;50 %;-;-;5.00;40 %;4.00;50 %;8.00;3.00;1.00;7.00;2.00;-;12.00;50 %;6.00;67 %;6.00;33 %;1.00;100 %;2.00;100 %;-;-;3.00;67 %;10.00;3.00;1;1.00;-;-;59.00;45.00;76 %;-;-;-;-;-;-;-;-;1.11;0.96;0.15;-;-;26.00;-;-;4.00;1.00;-;2.00;2.00;6.00;4.00;2.00;1.00;2.00;-;2.00
Клаудиньо;Зенит;227;100;П ЛЦ;-;-;-;-;-;-;3.00;1.00;-;-;1.00;-;-;1.00;-;0.06;87.00;79 %;-;-;3.00;0 %;22.00;64 %;6.00;50 %;-;-;12.00;58 %;10.00;40 %;11.00;2.00;-;4.00;2.00;4.00;14.00;29 %;7.00;29 %;7.00;29 %;-;-;6.00;33 %;2.00;50 %;4.00;25 %;3.00;3.00;1;1.00;-;-;112.00;83.00;74 %;0 %;1.00;-;-;0.22;0.06;-;0.00;0.96;1.11;-0.15;-;-;69.00;-;-;14.00;3.00;-;7.00;4.00;4.00;2.00;2.00;-;2.00;1.00;1.00
Эдгар Севикян;Пари Нижний Новгород;250;100;Ф ПЦ;1.00;-;2.00;1.00;50 %;-;2.00;-;-;-;1.00;-;-;1.00;1.00;0.06;23.00;83 %;-;-;-;-;3.00;100 %;-;-;-;-;2.00;100 %;1.00;100 %;14.00;4.00;2.00;-;-;2.00;30.00;23 %;10.00;10 %;20.00;30 %;7.00;0 %;7.00;43 %;4.00;50 %;4.00;25 %;2.00;6.00;1;1.00;-;-;67.00;38.00;57 %;100 %;-;-;-;0.06;0.06;0.06;16.67;0.20;1.77;-1.57;-;-;19.00;-;-;3.00;-;-;2.00;1.00;7.00;1.00;6.00;-;3.00;2.00;1.00
