Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Тур
Руслан Магаль;Факел Воронеж;182;15;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.00;89 %;-;-;1.00;0 %;2.00;100 %;-;-;-;-;1.00;100 %;1.00;0 %;2.00;-;-;1.00;-;2.00;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;2.00;-;1;-;-;1.00;14.00;12.00;86 %;-;-;-;-;-;-;-;-;0.21;0.08;0.13;-;-;8.00;-;-;2.00;-;-;1.00;-;-;-;-;-;-;-;-;7
Константин Марадишвили;Локомотив Москва;219;15;АП Ц;-;-;1.00;-;0 %;-;-;1.00;-;-;-;-;-;1.00;1.00;0.27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;-;-;5.00;60 %;2.00;100 %;3.00;33 %;-;-;1.00;0 %;-;-;2.00;100 %;2.00;-;1;-;-;1.00;8.00;6.00;75 %;100 %;-;-;-;-;0.27;-;0.00;0.28;0.18;0.10;0.18;0.18;-;-;-;-;-;-;-;-;3.00;2.00;1.00;-;-;-;2.00;7
Максим Сидоров;Оренбург;204;15;ЗЛ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;6.00;67 %;-;-;1.00;0 %;2.00;100 %;-;-;-;-;-;-;1.00;0 %;2.00;-;-;1.00;-;-;3.00;67 %;3.00;67 %;-;-;3.00;67 %;-;-;-;-;-;-;-;1.00;1;1.00;1.00;-;10.00;7.00;70 %;-;-;-;-;-;-;-;-;0.02;-;0.02;-;-;4.00;-;-;2.00;-;-;-;-;2.00;2.00;-;2.00;-;-;-;7
Заим Диванович;ФК Ахмат;-;14;Ф ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;50 %;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;5.00;40 %;1.00;0 %;4.00;50 %;-;-;2.00;100 %;-;-;-;-;-;-;1;-;-;1.00;7.00;3.00;43 %;-;-;-;-;-;-;-;-;-;0.50;-0.50;-;-;1.00;-;-;-;-;-;-;-;2.00;-;2.00;-;2.00;-;-;7
Артём Мамин;Урал Екатеринбург;-;14;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;86 %;-;-;-;-;4.00;75 %;1.00;100 %;-;-;2.00;100 %;-;-;-;-;-;-;-;-;1.00;0 %;1.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;-;1.00;1;-;-;1.00;9.00;7.00;78 %;-;-;-;-;-;-;-;-;0.50;-;0.50;-;-;6.00;-;-;3.00;1.00;-;2.00;-;-;-;-;-;-;-;-;7
Иван Остоич;Балтика;186;14;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;7.00;43 %;-;-;1.00;0 %;4.00;25 %;2.00;50 %;1.00;100 %;2.00;50 %;1.00;0 %;-;-;-;1.00;-;-;4.00;75 %;4.00;75 %;-;-;2.00;100 %;-;-;-;-;2.00;50 %;1.00;2.00;1;-;-;1.00;14.00;9.00;64 %;-;-;-;-;-;-;-;-;0.18;0.28;-0.10;-;-;3.00;-;-;1.00;1.00;1.00;1.00;-;3.00;3.00;-;2.00;-;-;1.00;7
Илья Самошников;Локомотив Москва;219;14;З П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;5.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;1.00;100 %;-;-;-;1.00;1.00;-;2.00;100 %;1.00;100 %;1.00;100 %;-;-;1.00;100 %;1.00;100 %;1.00;100 %;5.00;1.00;1;-;-;1.00;13.00;13.00;100 %;-;-;-;-;-;-;-;-;0.28;0.18;0.10;-;-;5.00;-;-;-;-;-;-;1.00;2.00;1.00;1.00;-;1.00;1.00;1.00;7
Павел Мелешин;Спартак Москва;-;12;АП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;1.00;1.00;100 %;1.00;100 %;-;-;-;-;-;-;-;-;1.00;100 %;-;-;1;-;-;1.00;3.00;2.00;67 %;-;-;-;-;-;-;-;-;0.17;-;0.17;-;-;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;1.00;7
Матео Барач;Крылья Советов;-;11;З ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;75 %;1.00;0 %;-;-;2.00;50 %;2.00;100 %;-;-;1.00;0 %;-;-;1.00;-;-;2.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;1;-;-;1.00;6.00;5.00;83 %;-;-;-;-;-;-;-;-;0.08;-;0.08;-;-;3.00;-;-;1.00;2.00;-;-;-;-;-;-;-;-;-;-;7
Егор Карпицкий;Крылья Советов;-;11;АП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;0.08;4.00;50 %;-;-;-;-;3.00;33 %;-;-;-;-;-;-;-;-;3.00;2.00;-;-;-;1.00;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;1.00;1;-;-;1.00;8.00;5.00;63 %;100 %;-;-;-;-;0.08;-;0.00;0.08;-;0.08;-;-;2.00;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;7
Дмитрий Тихий;Пари Нижний Новгород;-;9;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;-;-;1.00;100 %;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;1;-;-;1.00;2.00;2.00;100 %;-;-;-;-;-;-;-;-;-;0.05;-0.05;-;-;1.00;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;7
Эмирджан Гюрлюк;Оренбург;204;8;АП П;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;1.00;0.09;4.00;50 %;-;-;-;-;-;-;-;-;-;-;-;-;2.00;0 %;2.00;-;-;2.00;2.00;-;4.00;50 %;1.00;100 %;3.00;33 %;-;-;3.00;33 %;3.00;33 %;-;-;-;1.00;1;-;-;1.00;11.00;6.00;55 %;50 %;1.00;-;-;0.02;0.04;-;0.00;0.09;0.02;0.07;-;-;2.00;-;-;-;-;-;-;-;2.00;1.00;1.00;-;1.00;1.00;-;7
Ленини Пина;ФК Краснодар;-;6;П ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;100 %;-;-;2.00;100 %;-;-;1.00;100 %;-;-;-;-;-;-;1;-;-;1.00;4.00;4.00;100 %;-;-;-;-;-;-;-;-;-;0.05;-0.05;-;-;2.00;-;-;-;-;-;-;-;2.00;-;2.00;-;1.00;-;-;7
Глен Бейл;Крылья Советов;202;103;З П;-;-;-;-;-;-;3.00;-;-;1.00;1.00;-;1.00;-;-;-;62.00;85 %;-;-;1.00;100 %;11.00;55 %;4.00;25 %;3.00;0 %;4.00;50 %;4.00;75 %;6.00;-;-;2.00;1.00;1.00;10.00;50 %;9.00;44 %;1.00;100 %;4.00;50 %;-;-;-;-;2.00;100 %;4.00;3.00;1;1.00;-;-;80.00;66.00;83 %;-;-;-;-;0.37;-;-;-;2.25;1.69;0.56;-;-;53.00;-;1.00;6.00;1.00;-;2.00;3.00;5.00;4.00;1.00;2.00;-;-;2.00;8
Роман Евгеньев;Крылья Советов;193;103;З ПЦ;-;-;-;-;-;-;3.00;1.00;1.00;3.00;-;-;-;1.00;-;0.08;52.00;88 %;-;-;-;-;11.00;64 %;2.00;0 %;1.00;0 %;3.00;67 %;-;-;3.00;-;-;8.00;1.00;1.00;21.00;43 %;19.00;47 %;2.00;0 %;17.00;41 %;-;-;-;-;-;-;7.00;4.00;1;1.00;-;-;86.00;67.00;78 %;0 %;1.00;-;-;-;0.08;-;0.00;2.25;1.69;0.56;0.06;0.03;46.00;-;-;7.00;-;-;2.00;-;9.00;9.00;-;7.00;-;-;-;8
Милан Гайич;ЦСКА Москва;209;103;ЗП Л;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;29.00;72 %;1.00;0 %;3.00;33 %;8.00;50 %;1.00;0 %;-;-;-;-;4.00;25 %;9.00;3.00;1.00;1.00;-;1.00;9.00;22 %;3.00;33 %;6.00;17 %;4.00;25 %;1.00;100 %;1.00;100 %;-;-;3.00;7.00;1;1.00;-;-;50.00;34.00;68 %;-;-;-;-;-;-;-;-;1.69;2.25;-0.56;0.06;0.06;21.00;-;1.00;4.00;-;-;-;1.00;2.00;1.00;1.00;1.00;1.00;1.00;-;8
Юрий Горшков;Крылья Советов;233;103;ЗЛ;-;-;-;-;-;1.00;-;1.00;1.00;1.00;-;-;-;-;-;-;43.00;84 %;1.00;100 %;1.00;0 %;8.00;63 %;1.00;0 %;-;-;2.00;50 %;3.00;33 %;3.00;1.00;-;2.00;-;5.00;7.00;71 %;5.00;60 %;2.00;100 %;3.00;100 %;-;-;-;-;-;-;2.00;2.00;1;1.00;-;-;59.00;50.00;85 %;-;-;-;-;1.28;-;-;-;2.25;1.69;0.56;0.14;0.14;36.00;1.00;-;5.00;-;-;1.00;1.00;5.00;3.00;2.00;3.00;-;-;-;8
Иван Обляков;ЦСКА Москва;184;103;ЗП ЛЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;1.00;-;0.14;43.00;74 %;-;-;1.00;100 %;11.00;73 %;-;-;-;-;8.00;63 %;9.00;56 %;5.00;1.00;-;5.00;1.00;1.00;10.00;30 %;7.00;14 %;3.00;67 %;2.00;0 %;-;-;-;-;2.00;0 %;7.00;5.00;1;1.00;-;-;67.00;48.00;72 %;0 %;-;1.00;-;0.45;0.14;-;0.00;1.69;2.25;-0.56;-;-;32.00;-;1.00;8.00;-;-;5.00;5.00;3.00;1.00;2.00;-;-;-;-;8
Фернандо Костанца;Крылья Советов;251;103;ЗП ПЦ;-;-;1.00;-;0 %;-;4.00;1.00;-;-;1.00;-;-;2.00;1.00;0.90;35.00;91 %;-;-;-;-;5.00;100 %;-;-;-;-;5.00;100 %;-;-;1.00;-;1.00;7.00;2.00;3.00;19.00;58 %;14.00;50 %;5.00;80 %;1.00;0 %;3.00;67 %;1.00;100 %;10.00;60 %;13.00;-;1;1.00;-;-;73.00;60.00;82 %;50 %;1.00;-;-;0.23;0.45;-;0.00;2.25;1.69;0.56;0.03;0.03;32.00;-;-;5.00;-;-;5.00;-;11.00;7.00;4.00;-;2.00;1.00;6.00;8
Николай Рассказов;Крылья Советов;276;103;П П;1.00;-;1.00;1.00;100 %;1.00;-;-;-;-;-;-;-;1.00;1.00;0.64;45.00;73 %;2.00;50 %;1.00;0 %;12.00;67 %;1.00;100 %;-;-;3.00;33 %;4.00;75 %;10.00;7.00;-;6.00;-;4.00;19.00;68 %;6.00;100 %;13.00;54 %;2.00;50 %;5.00;60 %;-;-;2.00;100 %;10.00;4.00;1;1.00;-;-;83.00;65.00;78 %;100 %;-;-;-;1.25;0.64;0.64;1.56;2.25;1.69;0.56;-;-;33.00;1.00;-;8.00;1.00;-;1.00;3.00;13.00;6.00;7.00;1.00;3.00;-;2.00;8
Никита Салтыков;Крылья Советов;244;103;П Л;1.00;-;2.00;1.00;50 %;-;1.00;1.00;-;-;-;-;-;2.00;1.00;0.39;18.00;72 %;2.00;0 %;1.00;0 %;6.00;67 %;2.00;0 %;-;-;6.00;50 %;3.00;67 %;12.00;2.00;1.00;-;-;1.00;12.00;25 %;2.00;50 %;10.00;20 %;3.00;0 %;3.00;67 %;2.00;50 %;1.00;100 %;1.00;2.00;1;1.00;-;-;37.00;21.00;57 %;50 %;1.00;-;-;0.06;0.20;0.39;2.56;2.25;1.69;0.56;-;-;13.00;-;-;4.00;-;-;3.00;2.00;3.00;1.00;2.00;-;2.00;1.00;1.00;8
Келвен Дуглас Силва Оливейра;ЦСКА Москва;240;103;З П;-;-;-;-;-;1.00;1.00;1.00;-;-;-;-;-;1.00;-;0.02;38.00;79 %;-;-;2.00;0 %;4.00;75 %;2.00;50 %;-;-;2.00;100 %;3.00;0 %;7.00;-;-;5.00;1.00;1.00;15.00;53 %;5.00;100 %;10.00;30 %;1.00;0 %;3.00;0 %;-;-;4.00;100 %;7.00;5.00;1;1.00;-;-;68.00;52.00;76 %;0 %;1.00;-;-;0.05;0.02;-;0.00;1.69;2.25;-0.56;-;-;30.00;-;-;3.00;1.00;-;2.00;-;8.00;5.00;3.00;-;-;-;4.00;8
Саша Здьелар;ЦСКА Москва;214;103;З ПЦ;-;-;-;-;-;-;4.00;2.00;-;-;1.00;-;-;1.00;-;0.03;67.00;90 %;-;-;-;-;10.00;70 %;2.00;100 %;-;-;5.00;60 %;-;-;4.00;1.00;-;8.00;3.00;2.00;13.00;54 %;8.00;50 %;5.00;60 %;4.00;100 %;-;-;-;-;2.00;0 %;9.00;5.00;1;1.00;-;-;97.00;83.00;86 %;0 %;-;1.00;-;0.02;0.03;-;0.00;1.69;2.25;-0.56;0.06;0.03;60.00;-;-;7.00;2.00;-;3.00;-;7.00;4.00;3.00;4.00;-;-;-;8
Марсело Алвес Сантос;Сочи;216;101;З Ц;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;26.00;88 %;-;-;-;-;3.00;67 %;-;-;-;-;1.00;0 %;-;-;1.00;1.00;-;12.00;1.00;1.00;15.00;60 %;11.00;64 %;4.00;50 %;6.00;33 %;1.00;100 %;-;-;3.00;100 %;11.00;7.00;1;1.00;-;-;62.00;53.00;85 %;-;-;-;-;-;-;-;-;0.93;2.12;-1.19;0.05;0.05;23.00;-;-;2.00;-;-;-;-;9.00;7.00;2.00;2.00;1.00;-;3.00;8
Срджан Бабич;Спартак Москва;285;101;З ЛЦ;1.00;-;1.00;1.00;100 %;-;-;-;-;-;-;-;-;2.00;2.00;0.38;83.00;99 %;-;-;-;-;15.00;100 %;3.00;100 %;-;-;5.00;100 %;1.00;100 %;-;-;1.00;8.00;2.00;3.00;13.00;85 %;8.00;88 %;5.00;80 %;8.00;88 %;-;-;-;-;3.00;100 %;6.00;5.00;1;1.00;-;-;113.00;109.00;96 %;100 %;-;-;-;-;0.19;0.38;2.63;2.12;0.93;1.19;-;-;82.00;-;-;15.00;3.00;-;5.00;1.00;11.00;7.00;4.00;7.00;-;-;3.00;8
Даниил Денисов;Спартак Москва;246;101;З П;-;-;1.00;-;0 %;1.00;2.00;-;-;1.00;-;-;-;3.00;1.00;0.42;76.00;86 %;-;-;1.00;0 %;19.00;68 %;3.00;67 %;-;-;10.00;80 %;3.00;67 %;8.00;3.00;2.00;4.00;-;-;13.00;62 %;10.00;60 %;3.00;67 %;5.00;60 %;1.00;100 %;1.00;100 %;3.00;67 %;7.00;6.00;1;1.00;-;-;107.00;87.00;81 %;33 %;2.00;-;-;-;0.14;-;0.00;2.12;0.93;1.19;0.63;0.63;65.00;-;-;13.00;2.00;-;8.00;2.00;8.00;6.00;2.00;3.00;1.00;1.00;2.00;8
Ваня Дркушич;Сочи;196;101;З ПЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;1.00;-;0.04;33.00;70 %;-;-;1.00;0 %;8.00;50 %;1.00;100 %;-;-;4.00;100 %;1.00;0 %;5.00;3.00;-;4.00;1.00;-;12.00;75 %;9.00;67 %;3.00;100 %;7.00;100 %;-;-;-;-;3.00;33 %;7.00;5.00;1;1.00;-;-;60.00;46.00;77 %;0 %;1.00;-;-;-;0.04;-;0.00;0.93;2.12;-1.19;0.03;0.03;23.00;-;-;4.00;1.00;-;4.00;-;9.00;6.00;3.00;7.00;-;-;1.00;8
Алексис Давид Дуарте Перейра;Спартак Москва;225;101;З ПЦ;-;-;1.00;-;0 %;-;-;1.00;-;-;-;-;-;1.00;1.00;0.11;82.00;94 %;-;-;-;-;14.00;79 %;1.00;0 %;-;-;3.00;67 %;-;-;2.00;1.00;-;10.00;3.00;2.00;11.00;55 %;9.00;44 %;2.00;100 %;6.00;67 %;-;-;-;-;-;-;14.00;4.00;1;1.00;-;-;115.00;105.00;91 %;100 %;-;-;-;-;0.11;-;0.00;2.12;0.93;1.19;0.04;0.04;77.00;-;-;11.00;-;-;2.00;-;6.00;4.00;2.00;4.00;-;-;-;8
Мартин Крамарич;Сочи;204;101;АП ЛЦ;-;-;-;-;-;-;5.00;2.00;-;-;-;-;-;-;-;-;19.00;58 %;1.00;0 %;-;-;3.00;0 %;-;-;-;-;3.00;0 %;4.00;25 %;8.00;3.00;5.00;3.00;2.00;2.00;23.00;35 %;12.00;33 %;11.00;36 %;1.00;0 %;3.00;0 %;3.00;0 %;8.00;38 %;7.00;6.00;1;1.00;-;-;64.00;36.00;56 %;-;-;-;-;0.04;-;-;-;0.93;2.12;-1.19;0.40;0.13;11.00;-;-;-;-;-;-;1.00;8.00;4.00;4.00;-;-;-;3.00;8
Кристофер Мартинс Перейра;Спартак Москва;252;101;ЗП Ц;-;-;-;-;-;-;-;4.00;-;-;-;-;-;-;-;-;54.00;98 %;-;-;-;-;8.00;88 %;2.00;100 %;-;-;3.00;100 %;1.00;0 %;-;-;-;2.00;2.00;1.00;12.00;83 %;6.00;83 %;6.00;83 %;2.00;50 %;4.00;100 %;1.00;100 %;3.00;100 %;6.00;6.00;1;1.00;-;-;79.00;76.00;96 %;-;-;-;-;-;-;-;-;2.12;0.93;1.19;-;-;53.00;-;-;7.00;2.00;-;3.00;-;10.00;5.00;5.00;1.00;4.00;1.00;3.00;8
Иван Миладинович;Сочи;227;101;З ЛЦ;-;-;-;-;-;-;1.00;2.00;1.00;1.00;-;-;-;1.00;-;0.26;20.00;75 %;-;-;-;-;9.00;56 %;1.00;0 %;-;-;4.00;50 %;-;-;2.00;1.00;-;6.00;1.00;-;14.00;86 %;11.00;82 %;3.00;100 %;5.00;80 %;-;-;-;-;3.00;100 %;8.00;8.00;1;1.00;-;-;51.00;43.00;84 %;0 %;1.00;-;-;-;0.26;-;0.00;0.93;2.12;-1.19;0.40;0.20;15.00;-;-;5.00;-;-;2.00;-;12.00;9.00;3.00;4.00;-;-;3.00;8
Куинси Антон Промес;Спартак Москва;270;101;АП Л;-;1.00;2.00;-;0 %;3.00;-;2.00;-;-;-;-;-;2.00;2.00;0.32;72.00;86 %;2.00;100 %;3.00;67 %;9.00;67 %;3.00;100 %;-;-;4.00;75 %;10.00;80 %;7.00;2.00;-;-;-;6.00;12.00;33 %;1.00;0 %;11.00;36 %;2.00;0 %;8.00;50 %;7.00;43 %;1.00;0 %;1.00;4.00;1;1.00;-;-;97.00;79.00;81 %;100 %;-;-;-;1.37;0.16;-;0.00;2.12;0.93;1.19;-;-;62.00;2.00;2.00;6.00;3.00;-;3.00;8.00;4.00;-;4.00;-;4.00;3.00;-;8
Александр Соболев;Спартак Москва;200;101;Ф Ц;-;-;1.00;-;0 %;1.00;4.00;2.00;-;-;1.00;-;-;-;-;-;29.00;72 %;1.00;100 %;-;-;4.00;75 %;-;-;-;-;2.00;50 %;2.00;100 %;19.00;3.00;2.00;1.00;-;1.00;32.00;34 %;7.00;29 %;25.00;36 %;11.00;45 %;3.00;33 %;1.00;0 %;1.00;0 %;2.00;4.00;1;1.00;-;-;70.00;39.00;56 %;-;-;-;-;0.37;-;-;-;2.12;0.93;1.19;-;-;21.00;1.00;-;3.00;-;-;1.00;2.00;11.00;2.00;9.00;5.00;1.00;-;-;8
Соломон Шинонсо Агбалака;Сочи;177;101;ЗП Л;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;34.00;62 %;-;-;2.00;0 %;7.00;43 %;1.00;100 %;-;-;5.00;40 %;2.00;0 %;8.00;1.00;-;4.00;-;1.00;13.00;46 %;6.00;50 %;7.00;43 %;7.00;14 %;-;-;-;-;2.00;100 %;5.00;6.00;1;1.00;-;-;59.00;39.00;66 %;-;-;-;-;-;-;-;-;0.93;2.12;-1.19;-;-;21.00;-;-;3.00;1.00;-;2.00;-;6.00;3.00;3.00;1.00;-;-;2.00;8
Луис Герардо Чавез Магалон;Динамо Москва;240;100;ЗП ЛЦ;-;-;-;-;-;1.00;2.00;2.00;-;-;1.00;-;-;1.00;-;0.03;78.00;83 %;-;-;2.00;0 %;9.00;56 %;3.00;67 %;-;-;8.00;88 %;8.00;38 %;5.00;1.00;-;9.00;4.00;4.00;19.00;74 %;12.00;75 %;7.00;71 %;5.00;40 %;5.00;80 %;2.00;100 %;7.00;100 %;5.00;13.00;1;1.00;-;-;120.00;101.00;84 %;0 %;1.00;-;-;0.33;0.03;-;0.00;1.1;1.72;-0.71;-;-;65.00;-;-;5.00;2.00;-;7.00;3.00;14.00;9.00;5.00;2.00;4.00;2.00;7.00;8
Эли Даса;Динамо Москва;238;100;З П;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;1.00;-;0.01;72.00;85 %;2.00;0 %;4.00;0 %;11.00;45 %;1.00;0 %;-;-;7.00;71 %;6.00;17 %;7.00;1.00;-;5.00;2.00;2.00;10.00;50 %;5.00;60 %;5.00;40 %;1.00;0 %;5.00;40 %;1.00;0 %;3.00;67 %;7.00;8.00;1;1.00;-;-;101.00;84.00;83 %;0 %;1.00;-;-;0.48;0.01;-;0.00;1.1;1.72;-0.71;-;-;61.00;-;-;5.00;-;-;5.00;1.00;5.00;3.00;2.00;-;2.00;-;2.00;8
Кирилл Гоцук;Пари Нижний Новгород;182;100;З Ц;-;-;-;-;-;-;1.00;-;1.00;3.00;1.00;-;-;-;-;-;30.00;70 %;-;-;-;-;4.00;25 %;2.00;50 %;-;-;1.00;0 %;-;-;5.00;4.00;-;12.00;-;-;18.00;78 %;14.00;71 %;4.00;100 %;7.00;100 %;-;-;-;-;6.00;50 %;15.00;5.00;1;1.00;-;-;70.00;57.00;81 %;-;-;-;-;-;-;-;-;1.72;1.1;0.71;-;-;21.00;-;-;1.00;1.00;-;-;-;14.00;10.00;4.00;7.00;-;-;3.00;8
Никита Каккоев;Пари Нижний Новгород;258;100;З ЛЦ;-;-;1.00;-;0 %;1.00;2.00;-;-;-;1.00;-;-;2.00;1.00;0.75;32.00;88 %;1.00;100 %;-;-;7.00;86 %;4.00;75 %;1.00;0 %;2.00;100 %;4.00;50 %;3.00;2.00;-;11.00;1.00;1.00;9.00;78 %;8.00;75 %;1.00;100 %;2.00;100 %;-;-;-;-;5.00;80 %;11.00;6.00;1;1.00;-;-;61.00;54.00;89 %;50 %;1.00;-;-;0.78;0.38;-;0.00;1.72;1.1;0.71;-;-;28.00;1.00;-;6.00;3.00;-;2.00;2.00;7.00;6.00;1.00;2.00;-;-;4.00;8
Владислав Карапузов;Пари Нижний Новгород;241;100;ЗП Л;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;2.00;1.00;0.06;36.00;78 %;2.00;50 %;2.00;50 %;10.00;70 %;-;-;-;-;2.00;100 %;1.00;0 %;5.00;2.00;1.00;3.00;-;6.00;11.00;55 %;7.00;57 %;4.00;50 %;2.00;100 %;2.00;50 %;1.00;100 %;5.00;60 %;2.00;7.00;1;1.00;-;-;65.00;50.00;77 %;50 %;1.00;-;-;0.21;0.03;-;0.00;1.72;1.1;0.71;-;-;28.00;1.00;1.00;7.00;-;-;2.00;-;6.00;4.00;2.00;2.00;1.00;1.00;3.00;8
Диего Лаксальт;Динамо Москва;214;100;ЗП ПЦ;-;-;-;-;-;1.00;-;-;-;-;-;-;-;2.00;-;0.26;67.00;84 %;2.00;50 %;1.00;0 %;16.00;63 %;1.00;100 %;-;-;7.00;43 %;2.00;0 %;8.00;1.00;3.00;3.00;2.00;4.00;11.00;36 %;6.00;0 %;5.00;80 %;2.00;50 %;3.00;100 %;1.00;100 %;3.00;0 %;7.00;10.00;1;1.00;-;-;104.00;81.00;78 %;0 %;1.00;1.00;-;0.28;0.13;-;0.00;1.1;1.72;-0.71;-;-;56.00;1.00;-;10.00;1.00;-;3.00;-;4.00;-;4.00;1.00;3.00;1.00;-;8
Николас Марычал;Динамо Москва;218;100;З ПЦ;-;-;-;-;-;-;1.00;-;1.00;1.00;-;-;-;-;-;-;56.00;96 %;-;-;-;-;12.00;92 %;1.00;100 %;-;-;5.00;80 %;-;-;2.00;2.00;-;10.00;1.00;3.00;13.00;77 %;12.00;75 %;1.00;100 %;5.00;100 %;-;-;-;-;1.00;100 %;5.00;6.00;1;1.00;-;-;84.00;79.00;94 %;-;-;-;-;-;-;-;-;1.1;1.72;-0.71;0.04;0.04;54.00;-;-;11.00;1.00;-;4.00;-;10.00;9.00;1.00;5.00;-;-;1.00;8
Мамаду Майга;Пари Нижний Новгород;181;100;ЗП ЛЦ;-;-;-;-;-;-;4.00;-;-;-;1.00;-;-;-;-;-;36.00;72 %;-;-;-;-;11.00;55 %;3.00;33 %;-;-;7.00;71 %;-;-;7.00;7.00;-;6.00;1.00;2.00;17.00;47 %;7.00;57 %;10.00;40 %;3.00;33 %;3.00;67 %;-;-;4.00;25 %;6.00;12.00;1;1.00;-;-;73.00;54.00;74 %;-;-;-;-;-;-;-;-;1.72;1.1;0.71;-;-;26.00;-;-;6.00;1.00;-;5.00;-;8.00;4.00;4.00;1.00;2.00;-;1.00;8
Дмитрий Скопинцев;Динамо Москва;232;100;ЗЛ;-;-;1.00;-;0 %;-;-;1.00;1.00;1.00;-;-;-;2.00;1.00;0.19;72.00;83 %;2.00;0 %;3.00;33 %;10.00;80 %;-;-;-;-;6.00;83 %;5.00;60 %;6.00;1.00;3.00;7.00;1.00;9.00;8.00;38 %;1.00;0 %;7.00;43 %;-;-;7.00;43 %;4.00;50 %;1.00;0 %;7.00;13.00;1;1.00;-;-;114.00;93.00;82 %;50 %;1.00;-;-;-;0.10;-;0.00;1.1;1.72;-0.71;-;-;60.00;-;1.00;8.00;-;-;5.00;3.00;3.00;-;3.00;-;3.00;2.00;-;8
